timestamp,symbol,open,high,low,close,volume
2024-01-01T00:00:00Z,EURUSD,1.10000,1.10025,1.09922,1.10007,948
2024-01-01T01:00:00Z,EURUSD,1.10007,1.10175,1.09937,1.10164,1839
2024-01-01T02:00:00Z,EURUSD,1.10164,1.10174,1.10088,1.10138,1292
2024-01-01T03:00:00Z,EURUSD,1.10138,1.10189,1.09976,1.10075,1053
2024-01-01T04:00:00Z,EURUSD,1.10075,1.10345,1.10005,1.10269,926
2024-01-01T05:00:00Z,EURUSD,1.10269,1.10400,1.10152,1.10353,895
2024-01-01T06:00:00Z,EURUSD,1.10353,1.10446,1.10302,1.10430,1907
2024-01-01T07:00:00Z,EURUSD,1.10430,1.10467,1.10277,1.10375,1170
2024-01-01T08:00:00Z,EURUSD,1.10375,1.10443,1.10293,1.10316,999
2024-01-01T09:00:00Z,EURUSD,1.10316,1.10398,1.10309,1.10390,1221
2024-01-01T10:00:00Z,EURUSD,1.10390,1.10513,1.10297,1.10449,1753
2024-01-01T11:00:00Z,EURUSD,1.10449,1.10589,1.10413,1.10535,1168
2024-01-01T12:00:00Z,EURUSD,1.10535,1.10684,1.10466,1.10654,1875
2024-01-01T13:00:00Z,EURUSD,1.10654,1.10754,1.10601,1.10713,949
2024-01-01T14:00:00Z,EURUSD,1.10713,1.10763,1.10567,1.10658,1111
2024-01-01T15:00:00Z,EURUSD,1.10658,1.10899,1.10543,1.10848,958
2024-01-01T16:00:00Z,EURUSD,1.10848,1.11056,1.10743,1.10988,1442
2024-01-01T17:00:00Z,EURUSD,1.10988,1.11042,1.10928,1.11000,1734
2024-01-01T18:00:00Z,EURUSD,1.11000,1.11011,1.10898,1.10930,933
2024-01-01T19:00:00Z,EURUSD,1.10930,1.11015,1.10781,1.10859,1712
2024-01-01T20:00:00Z,EURUSD,1.10859,1.10905,1.10774,1.10854,846
2024-01-01T21:00:00Z,EURUSD,1.10854,1.11089,1.10781,1.11046,1811
2024-01-01T22:00:00Z,EURUSD,1.11046,1.11138,1.10958,1.10974,1307
2024-01-01T23:00:00Z,EURUSD,1.10974,1.11113,1.10914,1.11003,1140
2024-01-02T00:00:00Z,EURUSD,1.11003,1.11114,1.10897,1.11048,1681
2024-01-02T01:00:00Z,EURUSD,1.11048,1.11251,1.10998,1.11217,1534
2024-01-02T02:00:00Z,EURUSD,1.11217,1.11378,1.11189,1.11332,969
2024-01-02T03:00:00Z,EURUSD,1.11332,1.11360,1.11267,1.11295,1793
2024-01-02T04:00:00Z,EURUSD,1.11295,1.11476,1.11261,1.11454,1098
2024-01-02T05:00:00Z,EURUSD,1.11454,1.11534,1.11386,1.11490,1057
2024-01-02T06:00:00Z,EURUSD,1.11490,1.11552,1.11413,1.11487,910
2024-01-02T07:00:00Z,EURUSD,1.11487,1.11592,1.11300,1.11414,1945
2024-01-02T08:00:00Z,EURUSD,1.11414,1.11462,1.11309,1.11322,1620
2024-01-02T09:00:00Z,EURUSD,1.11322,1.11330,1.11105,1.11130,1132
2024-01-02T10:00:00Z,EURUSD,1.11130,1.11202,1.10941,1.10953,1960
2024-01-02T11:00:00Z,EURUSD,1.10953,1.10966,1.10745,1.10789,852
2024-01-02T12:00:00Z,EURUSD,1.10789,1.10814,1.10555,1.10600,1316
2024-01-02T13:00:00Z,EURUSD,1.10600,1.10749,1.10543,1.10676,1036
2024-01-02T14:00:00Z,EURUSD,1.10676,1.10840,1.10621,1.10721,1790
2024-01-02T15:00:00Z,EURUSD,1.10721,1.10738,1.10515,1.10605,1342
2024-01-02T16:00:00Z,EURUSD,1.10605,1.10688,1.10476,1.10538,1220
2024-01-02T17:00:00Z,EURUSD,1.10538,1.10677,1.10521,1.10614,1912
2024-01-02T18:00:00Z,EURUSD,1.10614,1.10769,1.10578,1.10678,986
2024-01-02T19:00:00Z,EURUSD,1.10678,1.10709,1.10633,1.10677,1142
2024-01-02T20:00:00Z,EURUSD,1.10677,1.10703,1.10508,1.10573,1829
2024-01-02T21:00:00Z,EURUSD,1.10573,1.10600,1.10365,1.10462,1199
2024-01-02T22:00:00Z,EURUSD,1.10462,1.10592,1.10374,1.10494,1264
2024-01-02T23:00:00Z,EURUSD,1.10494,1.10553,1.10256,1.10344,857
2024-01-03T00:00:00Z,EURUSD,1.10344,1.10428,1.10321,1.10371,1505
2024-01-03T01:00:00Z,EURUSD,1.10371,1.10484,1.10177,1.10295,1546
2024-01-03T02:00:00Z,EURUSD,1.10295,1.10308,1.10053,1.10109,1491
2024-01-03T03:00:00Z,EURUSD,1.10109,1.10184,1.09853,1.09961,803
2024-01-03T04:00:00Z,EURUSD,1.09961,1.10039,1.09799,1.09895,973
2024-01-03T05:00:00Z,EURUSD,1.09895,1.09949,1.09848,1.09935,1208
2024-01-03T06:00:00Z,EURUSD,1.09935,1.09956,1.09774,1.09868,1480
2024-01-03T07:00:00Z,EURUSD,1.09868,1.09982,1.09598,1.09684,1748
2024-01-03T08:00:00Z,EURUSD,1.09684,1.09798,1.09508,1.09595,1148
2024-01-03T09:00:00Z,EURUSD,1.09595,1.09686,1.09524,1.09683,1753
2024-01-03T10:00:00Z,EURUSD,1.09683,1.09732,1.09584,1.09715,1771
2024-01-03T11:00:00Z,EURUSD,1.09715,1.09757,1.09636,1.09702,1068
2024-01-03T12:00:00Z,EURUSD,1.09702,1.09798,1.09531,1.09618,1010
2024-01-03T13:00:00Z,EURUSD,1.09618,1.09798,1.09566,1.09686,1198
2024-01-03T14:00:00Z,EURUSD,1.09686,1.09869,1.09656,1.09844,1399
2024-01-03T15:00:00Z,EURUSD,1.09844,1.09996,1.09805,1.09905,1914
2024-01-03T16:00:00Z,EURUSD,1.09905,1.09956,1.09795,1.09940,1524
2024-01-03T17:00:00Z,EURUSD,1.09940,1.10199,1.09842,1.10120,1858
2024-01-03T18:00:00Z,EURUSD,1.10120,1.10266,1.10059,1.10156,1889
2024-01-03T19:00:00Z,EURUSD,1.10156,1.10217,1.10007,1.10111,1175
2024-01-03T20:00:00Z,EURUSD,1.10111,1.10297,1.10093,1.10204,1089
2024-01-03T21:00:00Z,EURUSD,1.10204,1.10343,1.10137,1.10256,1467
2024-01-03T22:00:00Z,EURUSD,1.10256,1.10434,1.10198,1.10371,1017
2024-01-03T23:00:00Z,EURUSD,1.10371,1.10552,1.10348,1.10546,886
2024-01-04T00:00:00Z,EURUSD,1.10546,1.10748,1.10478,1.10687,929
